agency_id,division_id,department_id,unit_id,long_name,short_name,active
CSL,1800,1802,1802,CHILDREN AND FAMILY SERVICES SUP,CHILD FAM SVCS,true
CSL,1800,1803,1803,ADVISORY / LITIGATION,ADVISRY LITGTN,true
CSP,5750,5750,5750,CITY OF SANTA PAULA PROPERTY TAX,SANTA PAUL PTAX,true
CSS,2250,2251,2251,PROGRAM OPERATIONS,PROGRAM OPS,true
CSS,2250,2253,2253,DCSS CALL CENTER,DCSS CALL CNTR,true
CSU,5780,5780,5780,CSU CHANNEL ISLANDS SITE AUTHORITY,CSUCI,true
CSV,5755,5755,5755,CITY OF SIMI VALLEY PROPERTY TAX,SIMI VLY PTAX,true
CTO,5760,5760,5760,CITY OF THOUSAND OAKS PROPERTY TAX,THOUS OAK PTAX,true
DAO,2100,2101,2101,SPECIAL PROSECUTIONS DIVISION,SPC PRSCTNS DIV,true
DAO,2100,2101,ALL,ALL UNIT,ALL UNIT,true
DAO,2100,2102,2102,ADMINISTRATION,ADMINISTRATION,true
DAO,2100,2103,2103,CRIMINAL PROSECUTIONS DIVISION,CRM PRSCTNS DIV,true
DAO,2100,2104,2104,2011 PUBLIC SAFETY REALIGNMENT,PUB SAF RLGNMNT,true
FIL,5790,5790,5790,FILLMORE PIRU MEMORIAL,FILL PIRU MEMOR,true
FOX,5795,5795,5795,FOX CANYON GROUND WATER MANAGEMENT,FOX CYN GW MGNT,true
FOX,5796,5796,5796,LAS POSAS VALLEY WATERMASTER,LPV WATERMASTER,true
FPD,2700,2701,2701,FISCAL AND ADMIN,FISCAL ADMIN,true
FPD,2700,2711,2711,PREVENTION,PREVENTION,true
FPD,2700,2721,2721,OPERATIONS AND SUPPORT SERVICES,OPS SUPPRT SVCS,true
FPD,2700,2731,2731,FIRE CAPITAL PROJECTS,FIRE CAP PJCTS,true
FRM,3700,3700,3700,FARM ADVISOR,FARM ADVISOR,true
GRJ,2000,2001,2001,CIVIL GRAND JURY,CIVL GRAND JURY,true
GRJ,2000,2003,2003,CRIMINAL GRAND JURY,CIRM GRAND JURY,true
GSA,4500,4501,4501,CAPITAL RENEWAL,CAPITAL RENEWAL,true
GSA,4550,4551,4551,GSA HEAVY EQUIPMENT,GSA HEAVY EQUIP,true
GSA,4570,4571,4571,FLEET OPERATIONS,FLEET OPS,true
GSA,4600,4601,4601,GSA ADMINISTRATION,GSA ADMIN,true
GSA,4620,4621,4621,PURCHASING,PURCHASING,true
GSA,4640,4641,4641,DOCUMENT MANAGEMENT,DOCUMENT MGMT,true
GSA,4640,4643,4643,WAREHOUSE AND DISTRIBUTION SERVICES,WARE DISTR SVCS,true
GSA,4640,4645,4645,MAIL CENTER,MAIL CENTER,true
GSA,4660,4661,4661,SPECIAL SERVICES,SPEC SVCS,true
GSA,4700,4701,4701,FACILITIES AND MAINTENANCE ADMINISTRATION,F AND M ADMIN,true
GSA,4700,4703,4703,MAINTENANCE,MAINTENANCE,true
GSA,4700,4705,4705,UTILITIES,UTILITIES,true
GSA,4720,4721,4721,HOUSEKEEPING,HOUSEKEEPING,true
GSA,4720,4723,4723,GROUNDS,GROUNDS,true
GSA,4740,4741,4741,FACILITIES PROJECTS,FACILTIES PJCTS,true
GSA,4760,4761,4761,PARKS OPERATIONS,PARKS OPS,true
GSA,4760,4763,4763,PARKS GRANTS AND CAPITAL PROJECTS,PARKS GRANT CAP,true
GSA,4770,4770,4770,OAK VIEW SCHOOL PRESERVATION AND MAINTENANCE DISTRICT,OAK VIEW DIST,true
GSA,4780,4780,4780,NYELAND ACRES COMMUNITY CENTER CFD,NYELAND CFD,true
GSF,5798,5798,5798,GOLDEN STATE FINANCE AUTHORITY,GOLD ST FIN AUT,true
HAR,5100,5101,5101,HARBOR ADMINISTRATION,HARBOR ADMIN,true
HAR,5100,5103,5103,MARKETING PROGRAM,MKTG PROGRAM,true
HAR,5100,5105,5105,HARBOR SAFETY,HARBOR SAFETY,true
HAR,5100,5107,5107,BEACHES,BEACHES,true
HAR,5100,5109,5109,HARBOR CONCESSIONS,HARBOR CONCESS,true
HAR,5100,5111,5111,HARBOR MAINTENANCE,HARBOR MAINT,true
HAR,5100,5113,5113,HARBOR FISHERMAN'S WHARF,HARBOR FISH WHF,true
HAR,5100,5115,5115,STATE IMPRV AREAS,ST IMPRV AREAS,true
HAR,5100,5117,5117,COMMERICAL MARINA AND WHARF,COMM MARINA WHF,true
HAR,5150,5150,5150,HARBOR CAPITAL PROJECTS DIVISION,HARBOR CAP PRJ,true
HAR,5160,5160,5160,FISH AND WILDLIFE,FISH WILDLIFE,true
HCA,3000,3000,3000,HCA ADMIN AND SUPPORT SERVICES,HCA ADM SPT SVC,false
